dataset,classifier,AU(MCP),AU(IMCP),gap (MCP-IMCP)
A_exp-0 (100/100/100),kNN (weighted),0.8966,0.8922,0.0044
A_exp-0 (100/100/100),L1-Logistic (CV),0.8941,0.89,0.0041
A_exp-0 (100/100/100),NN linear (torch),0.5019,0.5015,0.0004
A_exp-0 (100/100/100),NN dense-50 (torch),0.8659,0.862,0.0039
A_exp-0 (100/100/100),Featureless,0.3499,0.3499,0.0
B_exp-2 (100/400/900),kNN (weighted),0.9198,0.8785,0.0413
B_exp-2 (100/400/900),L1-Logistic (CV),0.879,0.8415,0.0375
B_exp-2 (100/400/900),NN linear (torch),0.7752,0.6937,0.0815
B_exp-2 (100/400/900),NN dense-50 (torch),0.8967,0.8578,0.0389
B_exp-2 (100/400/900),Featureless,0.458,0.3393,0.1187
C_exp-4 (100/1600/8100),kNN (weighted),0.952,0.7763,0.1757
C_exp-4 (100/1600/8100),L1-Logistic (CV),0.9242,0.7654,0.1588
C_exp-4 (100/1600/8100),NN linear (torch),0.9147,0.7399,0.1748
C_exp-4 (100/1600/8100),NN dense-50 (torch),0.9314,0.7585,0.1729
C_exp-4 (100/1600/8100),Featureless,0.6152,0.3267,0.2885
D_exp-6 (100/6400/72900),kNN (weighted),0.9697,0.7059,0.2638
D_exp-6 (100/6400/72900),L1-Logistic (CV),0.95,0.6897,0.2603
D_exp-6 (100/6400/72900),NN linear (torch),0.9491,0.6981,0.251
D_exp-6 (100/6400/72900),NN dense-50 (torch),0.9504,0.6587,0.2917
D_exp-6 (100/6400/72900),Featureless,0.7428,0.3228,0.42
